ASM,オリジナル,Allatori,Duplication,Irreducibility,Marge,ProGuard,Opaque,,,,,,,,,,
<code> <code> <code> <code> aload,219,206,219,219,193,219,50,61.1882,,,1,0.992826059,1,0.940504373,0.808285101,1,0.728825315
<code> <code> <code> aload getfield,122,93,122,122,108,122,9,659.436,,,0.992826059,1,0.992826059,0.948133656,0.821631096,0.992826059,0.747297357
aload getfield ifnull aload getfield,37,22,37,36,37,37,17,2478.75,,,1,0.992826059,1,0.940504373,0.808285101,1,0.728825315
istore iload aload arraylength ifIcmpge,32,1,32,31,19,32,32,2305.93,,,0.940504373,0.948133656,0.940504373,1,0.947770033,0.940504373,0.915103423
aload ldc invokespecial gotoInsn aload,30,,30,30,30,30,30,7249.22,,,0.808285101,0.821631096,0.808285101,0.947770033,1,0.808285101,0.983583459
iconst0 istore iload aload arraylength,30,1,13,30,19,30,30,17872.4,,,,,,,,,
iload aload arraylength ifIcmpge aload,30,15,30,29,19,30,12,3537.06,,,,,,,,,
istore iload iload ifIcmpge aload,30,2,30,29,8,30,4,2467.41,,,オリジナル,Allatori,Duplication,Irreducibility,Marge,pro,Opaque
aload getfield invokespecial astore aload,28,9,28,27,28,28,28,5435.8,,,219,206,219,219,291,219,273
<code> <code> aload getfield iload,27,23,27,27,26,27,1,2893.05,,,122,93,122,122,291,122,238
gotoInsn ldc aload invokevirtual ifeq,26,,26,26,26,26,26,1158.89,,,37,52,37,72,253,37,238
<code> <code> <code> aload invokespecial,25,5,25,25,24,25,20,920.721,,,32,39,32,72,193,32,238
aload aload getfield putfield aload,23,,23,23,23,23,23,3819.04,,,30,32,30,71,187,30,238
invokevirtual pop aload aload getfield,23,,23,23,23,23,23,4628.86,,,30,32,30,71,187,30,238
ldc aload invokevirtual ifeq iload,23,,23,23,19,23,32,14030.3,,,30,26,30,71,187,30,238
putfield aload aload putfield aload,23,2,23,20,23,23,23,3295.52,,,30,25,30,71,187,30,238
aload getfield aload getfield aload,22,2,22,22,22,22,22,4301.92,,,28,25,28,71,167,28,224
aload getfield putfield aload aload,22,8,22,22,22,22,22,3299.2,,,27,23,27,71,167,27,224
aload iload iconst2 iadd invokevirtual,22,10,22,22,8,22,22,7040.32,,,,,,,,,
iconst0 istore iload iload ifIcmpge,22,1,11,22,3,22,22,2505.19,,,,,,,,,
<code> <code> aload getfield aload,21,16,21,21,19,21,,2083.39,,,,,,,,,
aload dup getfield dupX1 iconst1,21,21,21,20,21,21,21,8097.97,,,,,,,,,
dup getfield dupX1 iconst1 iadd,21,21,21,20,21,21,21,4837.4,,,,,,,,,
getfield dupX1 iconst1 iadd putfield,21,21,21,20,21,21,21,7417.42,,,,,,,,,
<code> <code> aload invokespecial aload,20,,20,20,19,20,15,4545.75,,,,,,,,,
aload getfield astore aload ifnull,20,2,20,20,20,20,20,3963.41,,,,,,,,,
aload getfield invokevirtual pop aload,20,2,20,20,20,20,20,2055.38,,,,,,,,,
aload aload getfield ldc invokevirtual,19,,19,19,19,19,19,3296.9,,,,,,,,,
aload getfield bipush invokevirtual pop,19,4,19,16,19,19,19,4239.58,,,,,,,,,
aload getfield ldc invokevirtual invokevirtual,19,,19,19,19,19,19,6852.02,,,,,,,,,
aload getfield ldc invokevirtual pop,19,,19,19,19,19,19,2470.75,,,,,,,,,
aload iload invokespecial aload iload,19,,19,19,1,19,19,14465.4,,,,,,,,,
aload instanceofInsn ifeq aload checkcast,19,19,19,19,19,19,9,2259.75,,,,,,,,,
bipush iushr i2b bastore aload,19,,19,17,19,19,19,12153.4,,,,,,,,,
getfield invokevirtual pop aload getfield,19,2,19,19,19,19,19,3129.19,,,,,,,,,
i2b bastore aload iload iinc,19,,19,17,7,19,19,20808.9,,,,,,,,,
iconst1 iadd putfield aload getfield,19,8,19,19,19,19,19,4019.21,,,,,,,,,
iload iload ifIcmpge aload iload,19,2,19,19,5,19,,12492.6,,,,,,,,,
iload invokespecial aload iload invokespecial,19,,19,19,1,19,19,4347.51,,,,,,,,,
